category1_code,category2_code,product_code,title,imageurl,price_eur,title_cleaned
FASHION,COSTUME JEWELRY,PABC241B14727,Metall & Harz  Goldfarben  Rosa & Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/stud-earrings-gold-pink-black-metal-resin-metal-resin-packshot-artistique-vue2-abc241b14727ns733-9527287873566.jpg",720.0,metall & harz goldfarben rosa & schwarz
FASHION,SMALL LEATHER GOODS,PAP0242Y01864,Genarbtes Kalbsleder & goldfarbenes Metall  Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/classic-long-zipped-wallet-black-grained-calfskin-gold-tone-metal-grained-calfskin-gold-tone-metal-packshot-default-ap0242y01864c3906-8853676359710.jpg",1310.0,genarbtes kalbsleder & goldfarbenes metall schwarz
FASHION,SMALL LEATHER GOODS,PAP3603B14343,Glänzendes genarbtes Kalbsleder  Emaille & goldfarbenes Metall  Weiß,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/small-wallet-white-shiny-grained-calfskin-enamel-gold-tone-metal-shiny-grained-calfskin-enamel-gold-tone-metal-packshot-artistique-vue2-ap3603b1434310601-9527229579294.jpg",940.0,glänzendes genarbtes kalbsleder emaille & goldfarbenes metall weiß
FASHION,SMALL LEATHER GOODS,PAP3634B14362,Lammleder & goldfarbenes Metall  Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/pouch-black-lambskin-gold-tone-metal-lambskin-gold-tone-metal-packshot-artistique-vue2-ap3634b1436294305-9527230398494.jpg",2700.0,lammleder & goldfarbenes metall schwarz
FASHION,HANDBAGS,PAS1160B04852,Glänzendes Lammleder  gold-  silber- & rutheniumfarbenes Metall  Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/chanel-19-handbag-black-shiny-lambskin-gold-tone-silver-tone-ruthenium-finish-metal-shiny-lambskin-gold-tone-silver-tone-ruthenium-finish-metal-packshot-default-as1160b0485294305-9524214005790.jpg",6100.0,glänzendes lammleder gold- silber- & rutheniumfarbenes metall schwarz
JEWELRY,BRACELETS,PJ2831,18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/comete-bracelet-white-white-gold-diamond-packshot-default-j2831-9528003887134.jpg",123000.0,18 karat weißgold diamanten
JEWELRY,LES INTEMPORELS DE CHANEL,PJ60880,18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/ruban-ring-white-white-gold-diamond-packshot-default-j60880-9527969153054.jpg",84000.0,18 karat weißgold diamanten
JEWELRY,LES INTEMPORELS DE CHANEL,PJ60909,18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/ruban-necklace-white-white-gold-diamond-packshot-default-j60909-9528010571806.jpg",132000.0,18 karat weißgold diamanten
JEWELRY,EARRINGS,PJ63143,18 Karat Weißgold  Diamanten  schwarze Spinelle,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/comete-spinel-earrings-black-white-white-gold-diamond-colored-stone-packshot-default-j63143-9527987503134.jpg",65000.0,18 karat weißgold diamanten schwarze spinelle
JEWELRY,N°5 COLLECTION,PJ64301,18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/n-5-signature-bottle-diamonds-brooch-white-white-gold-diamond-packshot-default-j64301-9528005459998.jpg",105000.0,18 karat weißgold diamanten
